Position;Title;Year;Genres
371;The Sound of Music;1965;Biography, Drama, Family, Musical, Romance
372;Dip huet seung hung;1989;Action, Crime, Drama, Thriller
373;E.T. the Extra-Terrestrial;1982;Family, Sci-Fi
374;Wo hu cang long;2000;Action, Adventure, Fantasy, Romance
375;Taken;2008;Action, Crime, Thriller
376;Dead Poets Society;1989;Comedy, Drama
377;The Day the Earth Stood Still;1951;Drama, Sci-Fi
378;The French Connection;1971;Action, Crime, Drama, Thriller
379;Carlito's Way;1993;Crime, Drama, Thriller
380;The Social Network;2010;Biography, Drama
381;4 luni, 3 saptam‚ni si 2 zile;2007;Drama
382;The Right Stuff;1983;Adventure, Biography, Drama, History
383;Glengarry Glen Ross;1992;Crime, Drama, Mystery
384;Lat sau san taam;1992;Action, Crime, Thriller
385;The Iron Giant;1999;Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi
386;Boogie Nights;1997;Drama
387;Hot Fuzz;2007;Action, Comedy, Mystery, Thriller
388;Amour;2012;Drama
389;The Outlaw Josey Wales;1976;Western
390;Ferris Bueller's Day Off;1986;Comedy
391;Walk the Line;2005;Biography, Drama, Music, Romance
392;KÙkaku KidÙtai;1995;Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller
393;Rebel Without a Cause;1955;Drama
394;Predator;1987;Action, Adventure, Sci-Fi, Thriller
395;Dancer in the Dark;2000;Crime, Drama, Musical
396;My Fair Lady;1964;Drama, Family, Musical, Romance
397;Todo sobre mi madre;1999;Drama
398;The Birds;1963;Drama, Horror, Mystery, Romance
399;Zwartboek;2006;Drama, Thriller, War
400;Wreck-It Ralph;2012;Animation, Adventure, Comedy, Family, Fantasy
401;Clerks;1994;Comedy
402;Dirty Harry;1971;Action, Crime, Thriller
403;Scent of a Woman;1992;Drama
404;The Pursuit of Happyness;2006;Biography, Drama
405;The Ten Commandments;1956;Adventure, Drama
406;Office Space;1999;Comedy
407;Moonrise Kingdom;2012;Comedy, Drama, Romance
408;Do the Right Thing;1989;Comedy, Drama
409;The Fall;2006;Adventure, Drama, Fantasy
410;The Magnificent Seven;1960;Action, Adventure, Western
411;Man of Steel;2013;Action, Adventure, Sci-Fi
412;Deliverance;1972;Adventure, Drama, Thriller
413;Pink Floyd: The Wall;1982;Drama, Fantasy, Music
414;(500) Days of Summer;2009;Comedy, Drama, Romance
415;The Hangover;2009;Comedy
416;Misery;1990;Drama, Thriller
417;Evil Dead II;1987;Comedy, Horror
418;Lola rennt;1998;Crime, Drama, Thriller
419;The Curious Case of Benjamin Button;2008;Drama, Fantasy, Romance
420;The Dirty Dozen;1967;Action, Adventure, War
421;M‰n som hatar kvinnor;2009;Crime, Drama, Mystery, Thriller
422;Goldfinger;1964;Action, Adventure, Thriller
423;Kick-Ass;2010;Action, Comedy, Crime
424;The Boondock Saints;1999;Action, Crime, Thriller
425;Fantasia;1940;Animation, Family, Fantasy, Music, Musical
426;The World's Fastest Indian;2005;Biography, Drama, Sport
427;My Left Foot: The Story of Christy Brown;1989;Biography, Drama
428;X: First Class;2011;Action, Adventure, Sci-Fi
429;American Gangster;2007;Biography, Crime, Drama
430;Majo no takky˚bin;1989;Animation, Adventure, Drama, Family, Fantasy
431;Blue Velvet;1986;Drama, Mystery, Thriller
432;Ghost Busters;1984;Action, Comedy, Fantasy, Sci-Fi
433;Willy Wonka & the Chocolate Factory;1971;Family, Fantasy, Musical
434;Lilja 4-ever;2002;Crime, Drama
435;Airplane!;1980;Comedy
436;Tangled;2010;Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance
437;Skyfall;2012;Action, Adventure, Thriller
438;Being John Malkovich;1999;Comedy, Drama, Fantasy
439;The Fugitive;1993;Action, Crime, Drama, Mystery, Thriller
440;Batoru rowaiaru;2000;Action, Adventure, Drama, Sci-Fi, Thriller
441;Breaking the Waves;1996;Drama
442;Gattaca;1997;Drama, Sci-Fi, Thriller
443;Mr. Nobody;2009;Drama, Fantasy, Romance, Sci-Fi
444;50/50;2011;Comedy, Drama, Romance
445;Lost in Translation;2003;Comedy, Drama
446;Changeling;2008;Biography, Crime, Drama, History, Mystery, Thriller
